Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Anchovy, northern.............................",1471711,34835,448633,1490983,729249,1054277,256445,73122,135796,295238,6897457,2113045,15000791
"Barracuda, California.........................",0,0,0,0,0,0,11,213,123,0,0,0,347
"Bonito, Pacific...................................",0,0,0,0,0,0,0,0,0,25,0,0,25
Butterfish (Pacific pompano).........,2,0,0,72,133,131,5,5,1286,1215,230,0,3079
Cabezon............................................,2135,1077,11,1362,2220,4589,4118,3536,1137,1207,1102,1357,23851
"Cod, Pacific.......................................",0,0,0,0,0,0,0,0,0,9,0,0,9
"Croaker, white...................................",80,37,27,719,1558,789,525,243,540,341,0,6,4865
"Eel, monkeyface (prickleback)......",5,13,0,0,0,0,4,0,1,0,0,0,23
"Flounder, arrowtooth.........................",0,0,0,3,0,0,0,0,0,0,0,0,3
"Flounder, starry.................................",42,572,550,288,81,308,374,370,424,99,25,7,3140
"Flounder, unspecified........................",183,25,110,367,95,259,392,549,371,20,3,0,2373
"Greenling, kelp..................................",190,81,3,184,385,702,484,524,145,250,272,214,3433
Grenadier..........................................,17535,0,20491,27924,25557,31885,27831,36089,15750,10488,3936,5441,222928
"Grouper, broomtail............................",0,0,0,0,0,0,0,3,0,0,0,0,3
"Halibut, California..............................",2426,4355,2639,2918,1062,8563,14703,5102,3621,582,189,0,46158
"Herring, Pacific - roe on kelp.............",0,0,0,0,0,0,0,0,0,0,0,475,475
"Herring, Pacific..................................",0,0,0,0,0,9295,47110,0,0,0,0,0,56405
Jacksmelt..........................................,0,0,0,2171,1160,1078,65,861,3683,481,110,40,9649
Lingcod.............................................,11,0,0,0,907,1854,1701,1729,752,872,0,0,7827
Louvar...............................................,0,0,0,0,0,0,0,0,0,49,0,0,49
"Mackerel, Pacific...............................",3,0,0,41448,17854,0,27281,383,2,0,0,0,86971
"Mackerel, jack...................................",0,0,0,42392,11464,18434,37894,0,0,0,0,0,110184
Opah.................................................,545,0,0,0,0,0,0,0,150,472,0,0,1167
Queenfish..........................................,30,0,0,0,69,0,390,3,0,0,0,0,492
"Rockfish, China.................................",9,0,0,0,68,77,12,15,11,22,20,70,304
"Rockfish, aurora................................",14,0,816,56,96,0,25,0,15,0,0,43,1064
"Rockfish, bank..................................",3831,262,71,1229,3837,4669,2226,2463,4781,6249,1881,9776,41274
"Rockfish, black-and-yellow................",988,337,0,424,777,2122,1456,2533,649,537,602,262,10688
"Rockfish, black..................................",37,0,0,0,34,100,8,81,17,27,198,33,535
"Rockfish, blackgill..............................",2939,1379,2155,4929,2377,1886,3044,6756,2554,1588,4522,7761,41891
"Rockfish, blue...................................",66,2,0,8,3,105,29,195,159,347,84,83,1080
"Rockfish, bocaccio............................",727,23,138,293,1365,1466,1372,1396,592,1949,1221,1029,11571
"Rockfish, bronzespotted....................",0,0,0,0,0,0,37,0,0,0,0,0,37
"Rockfish, brown.................................",235,7,0,0,181,357,650,185,66,219,130,127,2156
"Rockfish, canary................................",32,6,30,4,29,84,81,199,211,45,45,202,968
