Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Barracuda, California.........................",13,0,0,0,0,21,0,0,11,0,0,35,80
"Bass, giant sea.................................",0,0,0,0,0,67,0,0,0,0,0,0,67
"Bonito, Pacific...................................",0,0,0,0,0,22,0,3,633,0,0,0,658
Cabezon............................................,448,65,2316,5944,8218,15208,11887,16514,10859,6543,8679,9820,96500
"Croaker, white...................................",0,0,0,0,0,0,0,0,0,0,0,4,4
"Eel, monkeyface (prickleback)......",0,0,10,6,9,32,54,4,10,5,10,12,151
"Fish, unspecified...............................",0,0,0,0,56,0,0,0,0,0,0,0,56
"Flounder, arrowtooth.........................",0,0,0,0,0,0,0,13,0,0,0,0,13
"Flounder, starry.................................",33,47,83,34,11,31,8,72,73,0,3,6,401
"Flounder, unspecified........................",41,21,32,55,0,0,0,450,48,122,72,53,892
"Greenling, kelp..................................",179,2,428,512,1174,1306,1014,911,977,371,699,851,8422
Grenadier..........................................,0,0,0,0,0,0,1217,0,1304,0,0,0,2521
"Guitarfish, shovelnose.......................",6,71,0,0,9,0,0,0,0,0,51,24,160
"Halibut, California..............................",3962,932,330,395,213,4675,3434,4938,2916,4927,4868,8311,39901
Lingcod.............................................,13,0,17,20,1766,2098,1992,27,0,65,0,0,5998
Louvar...............................................,0,0,0,0,0,0,0,0,100,881,144,24,1149
"Mackerel, Pacific...............................",0,0,0,0,0,0,0,0,3,0,0,1,4
"Mackerel, jack...................................",0,0,0,0,0,0,0,0,0,0,0,1,1
Opah.................................................,0,0,0,0,0,0,0,140,817,3561,813,345,5676
"Ray, Pacific electric...........................",0,0,0,0,0,0,0,100,0,0,0,0,100
"Rockfish, China.................................",0,0,31,12,3,19,55,71,15,20,17,91,334
"Rockfish, bank..................................",5190,2482,304,0,14,4737,58,15159,6470,34996,27652,11456,108518
"Rockfish, black-and-yellow................",4,6,713,721,1249,1862,1933,2343,1573,894,797,1035,13129
"Rockfish, black..................................",0,0,0,25,0,110,15,31,14,16,36,35,282
"Rockfish, blackgill..............................",945,1056,754,62,6,124,1362,1063,617,971,578,151,7689
"Rockfish, blue...................................",10,0,25,4,54,21,34,166,167,268,287,245,1281
"Rockfish, bocaccio............................",0,10,0,13,262,88,12,2,4,5,8,0,403
"Rockfish, brown.................................",0,0,798,2257,951,1861,2411,2384,2251,2147,2396,5767,23222
"Rockfish, canary................................",0,0,0,16,77,46,14,0,6,1,0,0,160
"Rockfish, chilipepper.........................",0,11,490,483,724,338,565,3364,1310,1336,961,0,9582
"Rockfish, copper...............................",0,0,12,41,3,19,15,58,11,26,105,52,341
"Rockfish, cowcod..............................",0,0,49,48,19,53,65,11,0,16,0,0,261
"Rockfish, gopher...............................",57,33,2912,3103,3055,4728,3020,7817,3836,3953,6326,7254,46093
"Rockfish, grass.................................",2,39,552,1368,1047,2229,3139,5175,3733,2048,1216,1307,21854
"Rockfish, greenspotted......................",0,0,0,0,0,0,0,0,0,116,0,0,116
"Rockfish, group bolina.......................",0,0,696,479,275,517,62,7,69,552,158,0,2815
"Rockfish, group gopher.....................",0,0,0,0,16,0,0,0,0,0,0,0,16
"Rockfish, group nearshore................",0,0,0,0,0,9,24,11,42,26,0,19,130
"Rockfish, group red...........................",0,650,498,538,600,1108,1480,671,629,473,38,241,6926
"Rockfish, group rosefish....................",9823,1928,2879,0,3548,1961,1996,5880,3785,2725,5367,1413,41305
"Rockfish, group shelf.........................",206,0,620,45,377,133,67,68,67,0,937,61,2580
"Rockfish, group slope........................",0,0,0,0,220,0,0,0,0,0,0,0,220
"Rockfish, kelp....................................",0,0,29,47,23,74,110,37,26,19,24,28,415
"Rockfish, olive...................................",0,0,0,0,0,92,106,7,7,7,0,4,222
"Rockfish, treefish...............................",0,1,53,85,48,183,128,322,136,167,164,196,1484
"Rockfish, vermilion............................",2,0,282,212,77,166,241,398,222,129,468,266,2462
"Rockfish, widow................................",0,0,103,20,2,25331,25679,0,2,2,3,0,51142
"Rockfish, yellowtail............................",0,0,0,0,47,164,154,0,6,0,4,2,376
Sablefish...........................................,13134,6511,14550,5886,4272,5857,3634,10658,2623,6604,7884,7040,88652
"Salmon, Chinook...............................",0,0,0,0,141170,271929,14360,830,0,0,0,0,428289
"Sanddab, Pacific...............................",0,0,0,0,0,0,2967,2714,0,0,0,0,5681
"Seabass, white..................................",74,11,9,0,13,129,749,665,39,119,628,1131,3567
"Shad, American.................................",0,0,0,0,0,0,0,0,0,0,4,0,4
"Shark, Pacific angel..........................",398,81,99,238,50,38,261,279,90,191,415,592,2730
"Shark, leopard...................................",0,68,8,51,0,0,0,0,0,0,57,30,214
"Shark, pelagic thresher.....................",0,0,0,0,0,0,0,0,0,121,188,94,403
"Shark, shortfin mako.........................",0,0,0,0,0,0,0,105,483,4262,2053,119,7022
"Shark, soupfin...................................",104,376,29,61,0,15,0,353,179,221,2373,1294,5005
"Shark, spiny dogfish..........................",0,0,0,0,0,0,0,0,0,0,0,125,125
"Shark, thresher..................................",0,0,0,0,0,1689,174,529,903,1930,2297,878,8400
"Shark, white......................................",0,0,0,0,0,0,0,0,0,0,1700,0,1700
"Sheephead, California.......................",18,0,229,38,53,65,98,190,129,100,214,267,1399
"Skate, unspecified.............................",888,234,942,60,0,690,485,101,27,253,379,330,4388
"Sole, Dover.......................................",82428,57541,90895,51116,20927,34253,43491,47910,20492,19761,22196,15989,506999
"Sole, English.....................................",95,49,47,124,2,161,6238,7384,132,350,101,18,14701
"Sole, fantail.......................................",0,0,0,0,0,0,0,0,0,36,0,0,36
"Sole, petrale......................................",2143,738,1212,1150,1085,1074,2866,8030,462,716,3121,11440,34035
"Sole, rex............................................",11864,3077,7652,0,0,1556,7858,7836,58,721,929,2532,44083
"Sole, rock..........................................",0,0,0,0,0,2,0,0,0,2,4,0,8
"Sole, sand.........................................",88,32,14,90,65,33,9,502,88,14,71,30,1035
"Sole, unspecified...............................",81,23,49,105,15,93,0,75,25,0,57,131,654
"Surfperch, barred..............................",2152,440,970,1506,0,0,277,356,552,514,457,744,7968
"Surfperch, rainbow............................",0,0,0,1,2,2,2,0,0,1,0,4,11
"Surfperch, unspecified.......................",235,51,27,167,0,0,66,144,174,195,598,225,1881
Swordfish..........................................,0,0,0,0,0,0,0,270,9154,188983,74283,9287,281976
"Thornyhead, longspine......................",25813,30249,46834,11609,5426,10264,9751,7893,3995,4746,9304,6526,172410
"Thornyhead, shortspine.....................",12995,6434,12363,3548,1050,2952,2298,1904,1404,1614,2802,1898,51262
"Tuna, albacore..................................",104,0,0,0,0,1455,12701,57283,368494,398214,28184,3975,870410
